bairros_fortaleza;nomes
1;Alagadiço
2;Alagadiço Novo
3;Aldeota
4;Alto Alegre
5;Alto da Balança
6;Alvaro Weyne
7;Amadeu Furtado
8;Antonio Bezerra
9;Antonio Diogo
10;Barra do Ceara
11;Bela Vista
12;Benfica
13;Bom Futuro
14;Bom Jardim
15;Bonsucesso
16;Cachoeirinha
17;Cajazeiras
18;Cambeba
19;Castelao
20;Centro
21;Cidade dos Funcionari
22;Coco
23;Conjunto Ceara
24;Conjunto Esperança
25;Cristo Redentor
26;Damas
27;Democrito Rocha
28;Dias Macedo
29;Dionisio Torres
30;Edson Queiroz
31;Farias Brito
32;Fatima
33;Genibau
34;Granja Portugal
35;Henrique Jorge
36;Itaperi
37;Jacarecanga
38;Jangurussu
39;Jardim America
40;Joaquim Tavora
41;Joquei Clube
42;Jose Bonifacio
43;Lagoa Redonda
44;Manuel Satiro
45;Maraponga
46;Meireles
47;Messejana
48;Mondubim
49;Monte Castelo
50;Montese
51;Moura Brasil
52;Mucuripe
53;Papicu
54;Parangaba
55;Parque Presidente Var
56;Parque Sao Jose
57;Parquelandia
58;Passare
59;Pici
60;Praia de Iracema
61;Prefeito Jose Walter
62;Presidente Tancredo N
63;Rodolfo Teofilo
64;Serrinha
65;Tauape
66;Varjota
67;Vicente Pinzon
68;Vila Ellery
69;Vila Peri
70;Vila União
71;Vila Velha
9999;Outros Municípios do Ceará
NA;Ignorado
